,AccountOwnerId,Account Name,ServiceAdministratorId,SubscriptionId,SubscriptionGuid,Subscription Name,Date,Month,Day,Year,Product,Meter ID,Meter Category,Meter Sub-Category,Meter Region,Meter Name,Consumed Quantity,ResourceRate,ExtendedCost,Resource Location,Consumed Service,Instance ID,ServiceInfo1,ServiceInfo2,AdditionalInfo,Tags,Store Service Identifier,Department Name,Cost Center,Unit Of Measure,Resource Group,Charges Billed Separately
3021,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,40.0,1.4179846249000002e-05,0.000567193849948,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
3022,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,General Block Blob - Read Operations,40551b4c-e8be-48ed-b70b-f8d25c7de724,Storage,General Block Blob,,Read Operations,0.5055,0.002920547790057,0.0014763369078739997,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
3427,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0146,0.0029169318062559997,4.2587204371e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100000000,worleyparsonsrnd-00,False
4230,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tables - Write Operations,9cb0bde8-bc0d-468c-8423-a25fe06779d3,Storage,Tables,,Write Operations,0.0257,0.0027508621859909997,7.069715818e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
4605,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,IP Addresses - Basic - Dynamic Public IP,f114cb19-ea64-40b5-bcd7-aee474b62853,Virtual Network,IP Addresses,,Dynamic Public IP,24.0,0.032449814990258,0.778795559766191,SouthCentralUS,Microsoft.Network,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Network/publicIPAddresses/pidparse-prdip-address,,,,,,Unassigned,,200 Hours,worleyparsonsrnd-00,False
4644,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,0.171427,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
4709,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,3.5836,0.032315596570456,0.115806171869887,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
4745,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.061,0.0029169318062559997,0.000177932840182,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
5012,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000168,0.36509477815015995,6.1335922729e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
5027,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,0.197949,0.705336192069508,0.13962059388396697,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,10 GB,worleyparsonsrnd-00,False
5126,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.1778,0.012169223241601999,0.0021636878923570004,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
5170,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Functions - Execution Time,2a384075-01d7-4f66-a84a-0eed3ca58876,Functions,,,Execution Time,64.887125,6.4916486087e-05,0.004212244147298,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,50000 GB Seconds,worleyparsonsrnd-00,False
6069,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
6417,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/16/2019,11,16,2019,Tables - Read Operations,12da282f-7e96-49e2-983a-9a65da2a4866,Storage,Tables,,Read Operations,0.0167,0.0024649119779929997,4.1164030032e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
6769,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.1651,0.012169223241601999,0.002009138757188,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
7200,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/03/2019,11,3,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0009,0.002888316758711,2.599485083e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
7481,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0146,0.0029169318062559997,4.2587204371e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100000000,worleyparsonsrnd-00,False
7784,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,General Block Blob - Read Operations,40551b4c-e8be-48ed-b70b-f8d25c7de724,Storage,General Block Blob,,Read Operations,0.4367,0.002920547790057,0.0012754032199179999,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
7832,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/03/2019,11,3,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.001,0.00291847671063,2.918476711e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
8018,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/05/2019,11,5,2019,Files - Protocol Operations,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Storage,Files,,Protocol Operations,0.2122,0.012168499217229,0.002582155533896,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
8803,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/05/2019,11,5,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.1866,0.121701140403635,0.022709432799317995,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
8961,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/03/2019,11,3,2019,Files - Protocol Operations,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Storage,Files,,Protocol Operations,0.0636,0.012168499217229,0.0007739165502160001,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
9152,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0018,0.00291847671063,5.253258078999999e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
9589,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/01/2019,11,1,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.1204,0.121701140403635,0.014652817304598,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
9777,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0607,0.0029169318062559997,0.00017705776063999998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
9898,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/02/2019,11,2,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
10231,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/03/2019,11,3,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,16.0,1.4179846249000002e-05,0.000226877539979,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
10671,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/04/2019,11,4,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,3.2865,0.032315596570456,0.106205208128804,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
11460,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/01/2019,11,1,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,15.0,1.4179846249000002e-05,0.00021269769372999999,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
